ProfileID,ModelCondition,ModelID,Datatype,WESKit,Product,Stranded,Source,SharedToDbgap
PR-01r7OM,MC-000957-Yckn,ACH-000957,rna,,,False,BROAD,
PR-02XmLG,MC-002785-qo9e,ACH-002785,rna,,,True,BROAD,
PR-045poV,MC-003273-qwen,ACH-003273,rna,,NOVA_SEQ_6000,True,BROAD,
PR-04VvBz,MC-001289-BpdI,ACH-001289,wes,ICE,,,BROAD,True
PR-08baLC,MC-000237-Fv8V,ACH-000237,wgs,,NOVA_SEQ_6000,,BROAD,
PR-09gmEI,MC-000520-YIm7,ACH-000520,rna,,,False,BROAD,
PR-09S1KU,MC-002269-tG4R,ACH-002269,wes,AGILENT,,,SANGER,
PR-0B6q0Z,MC-000575-q3Ch,ACH-000575,rna,,,False,BROAD,
PR-0c2Lny,MC-000074-Qybw,ACH-000074,wes,AGILENT,,,SANGER,
PR-0ccWFQ,MC-000869-u5uo,ACH-000869,rna,,,False,BROAD,
PR-0CHfFI,MC-001409-HWlo,ACH-001409,rna,,,True,BROAD,True
PR-0DEQ8n,MC-000715-nlbC,ACH-000715,wes,AGILENT,,,BROAD,
PR-0dHyNy,MC-002066-nmqF,ACH-002066,rna,,,True,BROAD,True
PR-0EypNA,MC-000730-2O1L,ACH-000730,wgs,,,,BROAD,
PR-0f2vAo,MC-000856-lEgX,ACH-000856,rna,,,False,BROAD,
PR-0fBntb,MC-000027-ohxB,ACH-000027,wes,AGILENT,,,BROAD,
PR-0fum2y,MC-001335-yPd0,ACH-001335,rna,,,True,BROAD,True
PR-0g14RE,MC-000644-IkVV,ACH-000644,wes,AGILENT,,,SANGER,
PR-0H05VY,MC-000077-BZeg,ACH-000077,wgs,,,,BROAD,
PR-0HbjBS,MC-001182-QeJa,ACH-001182,wes,AGILENT,,,SANGER,
PR-0hdbB5,MC-001098-vhLt,ACH-001098,rna,,,True,BROAD,
PR-0HHXsp,MC-001655-jaAf,ACH-001655,rna,,,True,BROAD,True
PR-0hvX2B,MC-000411-stVE,ACH-000411,rna,,,False,BROAD,
PR-0IljO4,MC-000866-dtB3,ACH-000866,rna,,,False,BROAD,
PR-0jK5CP,MC-000414-MWUF,ACH-000414,rna,,,False,BROAD,
PR-0kBhJF,MC-001818-ueZl,ACH-001818,wgs,,,,BROAD,
