"sample","chromosome","start","end","segmentMean","numProbes","Status"
"ACH-000082","1",10001,16539624,-0.101496,14523,"0"
"ACH-000082","1",16539625,16713624,0.777534,113,"+"
"ACH-000082","1",16715625,16798624,-0.821676,51,"-"
"ACH-000082","1",16849625,16952624,0.732068,96,"+"
"ACH-000082","1",16952625,20675198,-0.0833550000000002,3651,"0"
"ACH-000082","1",20675199,21651517,0.344074,863,"+"
"ACH-000082","1",21651518,38744266,-0.146943,16225,"0"
"ACH-000082","1",38744267,46399213,0.4123,7206,"+"
"ACH-000082","1",46399214,50411976,0.535988,3842,"+"
"ACH-000082","1",50411977,55000314,0.423666,4334,"+"
"ACH-000082","1",55000315,58593228,0.56874,3542,"+"
"ACH-000082","1",58593229,66511361,0.502983,7672,"+"
"ACH-000082","1",66511362,66687361,0.615391,176,"+"
"ACH-000082","1",66687362,69946233,0.560155,3212,"+"
"ACH-000082","1",69946234,89008293,0.582844,17496,"+"
"ACH-000082","1",89008294,94013029,0.477402,4870,"+"
"ACH-000082","1",94013030,108746036,0.547987,13510,"+"
"ACH-000082","1",108746037,109800258,0.414705,902,"+"
"ACH-000082","1",109800259,110603065,-0.167621,799,"-"
"ACH-000082","1",110603066,118917640,0.484366,7995,"+"
"ACH-000082","1",118917641,124937474,0.564733,1475,"+"
"ACH-000082","1",124938475,125146474,1.635629,206,"+"
"ACH-000082","1",125146475,125178474,3.004009,30,"+"
"ACH-000082","1",125178475,143273474,4.635758,75,"+"
"ACH-000082","1",143274475,144140474,-0.242211,297,"-"
"ACH-000082","1",144403475,163382628,0.493571,14994,"+"
"ACH-000082","1",163382629,165717683,0.705669,2266,"+"
"ACH-000082","1",165717684,170170262,0.595903,4371,"+"
"ACH-000082","1",170170263,171438977,0.759351,1238,"+"
"ACH-000082","1",171438978,175141551,0.585102,3642,"+"
"ACH-000082","1",175141552,177109001,0.712803,1586,"+"
"ACH-000082","1",177109002,177850986,0.865186,739,"+"
"ACH-000082","1",177850987,179294832,0.669846,1421,"+"
"ACH-000082","1",179294833,182957665,0.568301,3563,"+"
"ACH-000082","1",182957666,183434665,0.669076,477,"+"
"ACH-000082","1",183434666,183770665,0.457145,336,"+"
"ACH-000082","1",183770666,187553690,0.590097,3663,"+"
"ACH-000082","1",187553691,198416086,0.584622,9769,"+"
"ACH-000082","1",198416087,206052192,0.542375,7409,"+"
"ACH-000082","1",206052193,206059192,-2.641286,7,"-"
"ACH-000082","1",206059193,206510192,0.418371,264,"+"
