Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	ACH-001001	ACH-001275	ACH-002470	ACH-000359	ACH-002069	ACH-001814	ACH-000748	
Amplification Peak  1	1p36.13 	chr1:16863626-16949623(probes 1709:1720)      	chr1:16867625-16948624(probes 1710:1719)      	chr1:16867625-16959460(probes 1710:1722)      	0.098075	  0.098075		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	0	2	0	0	
Amplification Peak  2	1q12    	chr1:125165475-143284213(probes 12645:14459)	chr1:125178475-143274474(probes 12648:14458)	chr1:125175475-143303691(probes 12646:14461)	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	1	2	0	0	
Amplification Peak  3	1q44    	chr1:248576465-248653963(probes 25134:25147)	chr1:248577464-248648463(probes 25135:25146)	chr1:248577464-248670325(probes 25135:25152)	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	1	2	0	0	
Amplification Peak  4	2p11.2  	chr2:89780556-89847054(probes 34275:34283)    	chr2:89781555-89841554(probes 34276:34282)    	chr2:89780555-89868554(probes 34274:34285)    	0.083373	   0.20338		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	1	1	0	0	
Amplification Peak  5	2p11.2  	chr2:90394222-91426553(probes 34344:34348)    	chr2:90402555-91421554(probes 34345:34347)    	chr2:90370555-91434554(probes 34339:34350)    	0.06462	   0.16607		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	1	2	0	0	
Amplification Peak  6	3p11.1  	chr3:90525864-91258193(probes 58636:58663)    	chr3:90531363-91248372(probes 58637:58662)    	chr3:90258363-91277836(probes 58606:58665)    	0.01958	   0.01958		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	0	2	0	0	
Amplification Peak  7	4p11    	chr4:49081024-49164856(probes 74160:74172)    	chr4:49091024-49155023(probes 74161:74171)    	chr4:49091024-49184523(probes 74161:74174)    	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	0	2	0	0	
Amplification Peak  8	4p11    	chr4:49656025-49719004(probes 74214:74217)    	chr4:49657024-49709023(probes 74215:74216)    	chr4:49290024-52583348(probes 74187:74505)    	0.002768	 0.0036272		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	1	2	2	2	0	
Amplification Peak  9	4q35.2  	chr4:190107526-190214555(probes 88320:88330)	chr4:190117519-190214555(probes 88321:88330)	chr4:190117519-190214555(probes 88321:88330)	0.15426	   0.15426		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	0	2	0	1	2	0	0	
Amplification Peak 10	5p11    	chr5:46216553-46370424(probes 93033:93050)    	chr5:46218552-46360551(probes 93034:93049)    	chr5:46216552-49631118(probes 93032:93381)    	0.017717	  0.017717		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	2	2	1	2	
