Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	ACH-000082	ACH-001001	ACH-001275	ACH-000364	ACH-002067	ACH-002834	ACH-002471	ACH-001526	ACH-001715	ACH-002690	ACH-002470	ACH-000359	ACH-002069	ACH-001814	ACH-000410	ACH-000748	
Amplification Peak  1	1p36.13 	chr1:16539626-16724846(probes 1665:1689)        	chr1:16540625-16715624(probes 1666:1688)        	chr1:16540625-16743290(probes 1666:1691)        	0.021899	   0.034116		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	0	2	0	2	2	2	0	0	0	2	0	2	0	
Amplification Peak  2	1p36.13 	chr1:16863626-16948623(probes 1703:1713)        	chr1:16867625-16945624(probes 1704:1712)        	chr1:16867625-16962597(probes 1704:1719)        	2.1585e-06	 3.2037e-06		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	0	0	0	0	2	0	2	0	
Amplification Peak  3	1q12    	chr1:125166475-143284213(probes 12852:14671)  	chr1:125178475-143223474(probes 12857:14662)  	chr1:121738655-143303691(probes 12498:14673)  	1.2312e-10	 4.6904e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	1	2	1	2	0	2	0	
Amplification Peak  4	1q21.1  	chr1:144411476-145268474(probes 14763:14851)  	chr1:144419475-145247474(probes 14764:14846)  	chr1:144106475-147513473(probes 14759:15086)  	0.0013359	   0.010469		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	1	2	0	1	2	2	2	2	1	1	2	1	2	2	2	0	
Amplification Peak  5	1q44    	chr1:248576465-248653963(probes 25479:25492)  	chr1:248577464-248648463(probes 25480:25491)  	chr1:248577464-248670325(probes 25480:25497)  	4.3441e-07	 4.3441e-07		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	0	0	2	0	2	1	2	0	2	0	
Amplification Peak  6	2p11.2  	chr2:89780556-89847054(probes 34695:34703)      	chr2:89781555-89841554(probes 34696:34702)      	chr2:89772555-94580265(probes 34688:35110)      	2.8514e-10	 2.1527e-06		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	1	1	1	1	0	2	0	
Amplification Peak  7	2p11.2  	chr2:90394222-91426553(probes 34765:34769)      	chr2:90402555-91421554(probes 34766:34768)      	chr2:89772555-94580265(probes 34688:35110)      	4.0172e-08	   0.015309		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	1	1	1	2	0	2	0	
Amplification Peak  8	2q11.1  	chr2:94506809-94569306(probes 35096:35106)      	chr2:94512308-94568307(probes 35097:35105)      	chr2:89772555-94580265(probes 34688:35110)      	3.0135e-11	 5.5779e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	1	1	1	2	0	2	0	
Amplification Peak  9	3p11.1  	chr3:90525864-91258257(probes 59175:59204)      	chr3:90579363-91248372(probes 59184:59203)      	chr3:90258363-91278026(probes 59140:59206)      	3.0552e-11	 4.8685e-10		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	2	2	0	0	0	2	0	2	0	
Amplification Peak 10	3q11.1  	chr3:91541374-93719323(probes 59243:59246)      	chr3:91543373-93718324(probes 59244:59245)      	chr3:91505373-93749977(probes 59231:59252)      	5.576e-09	 1.6253e-06		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	0	2	2	2	2	0	0	1	2	2	2	0	
