cytoband	9p11.1	10q11.22	15q11.2	16p11.1	9q13	22p11.2	8p23.3	
q value	0.047752	0.047752	0.047752	0.099442	0.12124	0.1353	0.24677	
residual q value	0.047752	0.047752	0.047752	0.099442	0.12124	0.1353	0.24677	
wide peak boundaries	chr9:42292236-42325233	chr10:47573957-47648455	chr15:20002006-22377003	chr16:35220363-35525218	chr9:64365310-64462808	chr22:11973002-12287400	chr8:1-752208	
genes in wide peak	[FAM74A7]	CTSLP2	NBEAP1	FRG2DP	ANKRD20A4	[LOC102723769]	FBXO25	
			OR4N4	LINC01566			FAM87A	
			HERC2P3	TP53TG3HP			TDRP	
			LINC01193				ERICH1	
			IGHV1OR15-1				ZNF596	
			OR4M2				LOC401442	
			OR4N3P				OR4F21	
			NF1P2				ERICH1-AS1	
			CHEK2P2				RPL23AP53	
			LOC646214					
			CXADRP2					
			IGHV1OR15-3					
			REREP3					
			GOLGA6L6					
			LOC727924					
			GOLGA8CP					
			POTEB2					
			MIR1268A					
			MIR3118-3					
			MIR3118-4					
			MIR3118-2					
			MIR5701-2					
			MIR5701-1					
			POTEB					
			LOC101927079					
			POTEB3					
