Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	ACH-000082	ACH-000364	ACH-002067	ACH-002834	ACH-002471	ACH-001526	ACH-001715	ACH-002690	ACH-000410	
Amplification Peak  1	1p36.13 	chr1:16539626-16724846(probes 1654:1678)        	chr1:16540625-16715624(probes 1655:1677)        	chr1:16540625-16743290(probes 1655:1680)        	0.1103	     0.1728		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	0	2	0	2	2	2	0	2	
Amplification Peak  2	1p36.13 	chr1:16863626-16948623(probes 1692:1702)        	chr1:16867625-16945624(probes 1693:1701)        	chr1:16867625-16962578(probes 1693:1708)        	0.00015667	 0.00022928		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	0	0	2	
Amplification Peak  3	1q12    	chr1:125143476-143284099(probes 12731:14556)  	chr1:125178475-143223474(probes 12742:14547)  	chr1:124937475-143303349(probes 12708:14558)  	2.9642e-08	 7.1623e-08		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	1	2	
Amplification Peak  4	1q21.1  	chr1:144139476-145268441(probes 14641:14731)  	chr1:144140475-145247474(probes 14642:14726)  	chr1:144106475-145288376(probes 14640:14733)  	0.021793	   0.046482		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	1	1	2	2	2	2	1	1	2	
Amplification Peak  5	1q44    	chr1:248575465-248669360(probes 25222:25236)  	chr1:248577464-248659463(probes 25223:25235)  	chr1:248577464-248689153(probes 25223:25238)  	0.0033092	  0.0033092		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	0	0	2	0	2	
Amplification Peak  6	2p11.2  	chr2:89780556-89851487(probes 34325:34333)      	chr2:89781555-89841554(probes 34326:34332)      	chr2:89772555-94600090(probes 34320:34837)      	1.4598e-08	 8.1602e-05		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	1	2	
Amplification Peak  7	2p11.2  	chr2:90372556-91426553(probes 34390:34497)      	chr2:90377555-91421554(probes 34391:34496)      	chr2:89772555-94600090(probes 34320:34837)      	2.8758e-09	 0.00011431		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	1	2	
Amplification Peak  8	2q11.1  	chr2:94506809-94569306(probes 34821:34831)      	chr2:94512308-94568307(probes 34822:34830)      	chr2:89772555-94600090(probes 34320:34837)      	2.8758e-09	 9.7741e-07		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	1	2	
Amplification Peak  9	3p11.1  	chr3:90569763-91258257(probes 58759:58778)      	chr3:90579363-91248372(probes 58760:58777)      	chr3:90258363-91278026(probes 58718:58780)      	2.107e-09	 2.0112e-08		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	2	2	2	2	2	0	2	
Amplification Peak 10	3q11.1  	chr3:91539374-93719323(probes 58815:58820)      	chr3:91541373-93718324(probes 58816:58819)      	chr3:91515373-93749977(probes 58807:58826)      	7.2429e-07	 2.2557e-05		0: t<0.17; 1: 0.17<t< 0.9; 2: t>0.9	2	2	0	2	2	2	2	0	2	
