"sample","chromosome","start","end","segmentMean","numProbes","Status"
"ACH-001001","1",10001,16540624,0.105985,14524,"0"
"ACH-001001","1",16540625,16713624,1.050426,112,"+"
"ACH-001001","1",16715625,16863624,-0.419498,59,"-"
"ACH-001001","1",16863625,16949624,1.012939,85,"+"
"ACH-001001","1",16949625,17451264,-0.348534,466,"-"
"ACH-001001","1",17451265,18859264,0.060525,1408,"0"
"ACH-001001","1",18859265,37686261,-0.21475,17816,"0"
"ACH-001001","1",37686262,47176652,0.142014,9006,"+"
"ACH-001001","1",47176653,66475361,0.184521,18607,"+"
"ACH-001001","1",66475362,66833361,0.324822,355,"+"
"ACH-001001","1",66833362,67573361,0.172488,734,"+"
"ACH-001001","1",67573362,68398361,0.391949,824,"+"
"ACH-001001","1",68398362,71795886,-0.134917,3060,"0"
"ACH-001001","1",71795887,71888042,-1.946401,65,"-"
"ACH-001001","1",71894043,72270042,-0.541954,375,"-"
"ACH-001001","1",72270043,101682417,-0.105966,27938,"0"
"ACH-001001","1",101682418,105742295,0.282462,3297,"+"
"ACH-001001","1",105742296,108775036,0.89514,2679,"+"
"ACH-001001","1",108775037,117337883,1.22723,8145,"+"
"ACH-001001","1",117337884,117339883,-12.6932280000003,2,"-"
"ACH-001001","1",117339884,118200615,1.325476,853,"+"
"ACH-001001","1",118200616,118752640,2.255057,508,"+"
"ACH-001001","1",118752641,119892654,3.00865,1045,"+"
"ACH-001001","1",119892655,121738654,0.090419,583,"0"
"ACH-001001","1",121742655,125178474,1.676847,243,"+"
"ACH-001001","1",125178475,143273474,4.34436,75,"+"
"ACH-001001","1",143274475,144419474,0.561798,304,"+"
"ACH-001001","1",144419475,147000474,1.088449,978,"+"
"ACH-001001","1",147000475,149562474,0.899221,1460,"+"
"ACH-001001","1",149564475,149566474,-16.884036,2,"-"
"ACH-001001","1",149585475,149653474,0.781304,32,"+"
"ACH-001001","1",149655475,149665474,-9.90126600000004,7,"-"
"ACH-001001","1",149665475,150192655,1.122408,384,"+"
"ACH-001001","1",150192656,154472369,1.031812,3721,"+"
"ACH-001001","1",154472370,156196061,-1.509827,1680,"-"
"ACH-001001","1",156196062,248577463,-0.153309,86132,"0"
"ACH-001001","1",248577464,248659463,2.135662,64,"+"
"ACH-001001","1",248659464,248946463,-0.26686,271,"-"
"ACH-001001","10",366037,20561432,-0.0563919999999997,17988,"0"
"ACH-001001","10",20564356,20572355,-22.729147,7,"-"
"ACH-001001","10",20572356,32524706,-0.098075,11623,"0"
"ACH-001001","10",32524707,32552706,-1.697247,28,"-"
"ACH-001001","10",32552707,38488311,-0.0361999999999998,5549,"0"
