cytoband	15q11.2	16p11.1	22p11.2	10q11.22	3q13.31	9q13	17p11.2	9p11.1	7q35	
q value	0.00045227	0.00045227	0.00045227	0.00049242	0.00065838	0.014834	0.019131	0.039055	0.16178	
residual q value	0.00045227	0.00045227	0.00045227	0.00049242	0.00065838	0.014834	0.019131	0.039055	0.16178	
wide peak boundaries	chr15:20002006-22377003	chr16:35417370-35525218	chr22:11973002-12189999	chr10:47580458-47648455	chr3:116832899-116944897	chr9:64365310-64462808	chr17:21949313-21958310	chr9:42292236-42325233	chr7:147186284-147212616	
genes in wide peak	NBEAP1	FRG2DP	[LOC102723769]	CTSLP2	LINC00901	ANKRD20A4	[KCNJ18]	[FAM74A7]	CNTNAP2	
	OR4N4	TP53TG3HP			MIR4447					
	HERC2P3									
	LINC01193									
	IGHV1OR15-1									
	OR4M2									
	OR4N3P									
	NF1P2									
	CHEK2P2									
	LOC646214									
	CXADRP2									
	IGHV1OR15-3									
	REREP3									
	GOLGA6L6									
	LOC727924									
	GOLGA8CP									
	POTEB2									
	MIR1268A									
	MIR3118-3									
	MIR3118-4									
	MIR3118-2									
	MIR5701-2									
	MIR5701-1									
	POTEB									
	LOC101927079									
	POTEB3									
